post_id,title,url,publication_date,modified_date,provenance
7694,Stanza 9: Hail,https://lettersfortitles.com/hail/,2022-11-04,2023-09-29,repository data/corpus.json; WordPress REST API harvest; day precision
7692,Stanza 21: The Sea,https://lettersfortitles.com/the-sea/,2022-11-07,2022-10-31,repository data/corpus.json; WordPress REST API harvest; day precision
10338,ᛗ,https://lettersfortitles.com/%e1%9b%97/,2022-11-08,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
10337,ᚾ,https://lettersfortitles.com/%e1%9a%be/,2022-11-09,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
10141,Rune Casting: Mann,https://lettersfortitles.com/rune-casting-mann/,2022-11-10,2022-11-04,repository data/corpus.json; WordPress REST API harvest; day precision
10135,Rune Casting: Nyd,https://lettersfortitles.com/rune-casting-nyd/,2022-11-11,2022-11-11,repository data/corpus.json; WordPress REST API harvest; day precision
10265,How to Hold it Together,https://lettersfortitles.com/how-to-hold-it-together/,2022-11-14,2022-11-07,repository data/corpus.json; WordPress REST API harvest; day precision
10280,N is for ‘N,https://lettersfortitles.com/n-is-for-n/,2022-11-15,2022-11-07,repository data/corpus.json; WordPress REST API harvest; day precision
10359,X≠Y≠Z: Letter,https://lettersfortitles.com/x%e2%89%a0y%e2%89%a0z-letter/,2022-11-16,2023-09-06,repository data/corpus.json; WordPress REST API harvest; day precision
10379,Life and Death,https://lettersfortitles.com/life-and-death/,2022-11-17,2023-01-13,repository data/corpus.json; WordPress REST API harvest; day precision
10072,Fate,https://lettersfortitles.com/fate/,2022-11-18,2023-01-13,repository data/corpus.json; WordPress REST API harvest; day precision
10025,ꝥ,https://lettersfortitles.com/%ea%9d%a5/,2022-11-21,2023-09-08,repository data/corpus.json; WordPress REST API harvest; day precision
10332,You Knew it Beforehand,https://lettersfortitles.com/you-knew-it-beforehand/,2022-11-22,2023-09-08,repository data/corpus.json; WordPress REST API harvest; day precision
10321,M is for Mortality,https://lettersfortitles.com/m-is-for-mortality/,2022-11-23,2022-11-15,repository data/corpus.json; WordPress REST API harvest; day precision
10297,How to Listen Beforehand,https://lettersfortitles.com/how-to-listen-beforehand/,2022-11-24,2023-09-08,repository data/corpus.json; WordPress REST API harvest; day precision
9790,Translating Nyd,https://lettersfortitles.com/translating-nyd/,2022-11-25,2022-11-25,repository data/corpus.json; WordPress REST API harvest; day precision
10018,Translating Mann,https://lettersfortitles.com/translating-mann/,2022-11-28,2022-11-18,repository data/corpus.json; WordPress REST API harvest; day precision
7698,Stanza 20: Human,https://lettersfortitles.com/human/,2022-11-29,2023-01-13,repository data/corpus.json; WordPress REST API harvest; day precision
7696,Stanza 10: Need,https://lettersfortitles.com/stanza-10-need/,2022-11-30,2023-01-13,repository data/corpus.json; WordPress REST API harvest; day precision
10409,ᛖ,https://lettersfortitles.com/%e1%9b%96/,2022-12-01,2023-09-08,repository data/corpus.json; WordPress REST API harvest; day precision
10634,ᛁ,https://lettersfortitles.com/%e1%9b%81/,2022-12-02,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
10514,Rune Casting: Eh,https://lettersfortitles.com/rune-casting-eh/,2022-12-05,2023-09-08,repository data/corpus.json; WordPress REST API harvest; day precision
